"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","Ozone","PM2.5"
2020-01-01,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,29.5
2020-01-01,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,13.5
2020-01-01,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,24
2020-01-01,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,33
2020-01-01,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,47,NA
2020-01-01,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,28,21.3333333333333
2020-01-01,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,22
2020-01-01,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,11
2020-01-01,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,13
2020-01-01,"Millbrook School","Wake",35.856111,-78.574167,1,2020,32.5,30.6666666666667
2020-01-01,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,16.5
2020-01-01,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,26,23
2020-01-02,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,39
2020-01-02,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,13
2020-01-02,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,35
2020-01-02,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,37.3333333333333
2020-01-02,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,44,7
2020-01-02,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,25,33
2020-01-02,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,25
2020-01-02,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,15
2020-01-02,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,12
2020-01-02,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,11
2020-01-02,"Millbrook School","Wake",35.856111,-78.574167,1,2020,28,36.5
2020-01-02,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,23
2020-01-02,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,25,26.5
2020-01-03,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,31
2020-01-03,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,18
2020-01-03,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,42.6666666666667
2020-01-03,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,41.3333333333333
2020-01-03,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,36,NA
2020-01-03,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,16.5,33
2020-01-03,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,35.3333333333333
2020-01-03,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,19
2020-01-03,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,7
2020-01-03,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,40
2020-01-03,"Millbrook School","Wake",35.856111,-78.574167,1,2020,22,42.75
2020-01-03,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,23.3333333333333
2020-01-03,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,18,35
2020-01-04,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,21.5
2020-01-04,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,19
2020-01-04,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,39
2020-01-04,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,38.5
2020-01-04,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,34,NA
2020-01-04,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,26,18.3333333333333
2020-01-04,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,32
2020-01-04,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,19.5
