"lakeid","lakename","year4","daynum","month","sampledate","depth_id","depth","tn_ug","tp_ug","nh34","no23","po4","comments"
"L","Paul Lake",1991,140,"5",1991-05-20,1,0,538,25,NA,NA,NA,NA
"R","Peter Lake",1991,140,"5",1991-05-20,1,0,352,11,NA,NA,NA,NA
"L","Paul Lake",1991,147,"5",1991-05-27,1,0,483,8,18.981,10.299,8,NA
"R","Peter Lake",1991,148,"5",1991-05-28,1,0,342,23,18.096,6.276,NA,NA
"L","Paul Lake",1991,154,"6",1991-06-03,1,0,512,17,20.736,5.934,4,NA
"R","Peter Lake",1991,155,"6",1991-06-04,1,0,573,5,21.533,3.818,4,NA
"L","Paul Lake",1991,161,"6",1991-06-10,1,0,421,11,20.303,11.381,6,NA
"R","Peter Lake",1991,162,"6",1991-06-11,1,0,296,9,14.579,6.827,4,NA
"L","Paul Lake",1991,168,"6",1991-06-17,1,0,474,8,6.441,2.375,5,NA
"R","Peter Lake",1991,169,"6",1991-06-18,1,0,321,8,5.749,2.429,4,NA
"L","Paul Lake",1991,175,"6",1991-06-24,1,0,400,9,19.559,1.55,4,NA
"R","Peter Lake",1991,176,"6",1991-06-25,1,0,292,4,5.817,1.51,4,NA
"L","Paul Lake",1991,182,"7",1991-07-01,1,0,506,9,21.958,11.954,7,NA
"R","Peter Lake",1991,183,"7",1991-07-02,1,0,346,10,12.448,2.742,7,NA
"L","Paul Lake",1991,189,"7",1991-07-08,1,0,341,11,18.406,5.232,3,NA
"R","Peter Lake",1991,190,"7",1991-07-09,1,0,266,5,9.495,8.907,12,NA
"L","Paul Lake",1991,196,"7",1991-07-15,1,0,436,9,21.606,3.5,3,NA
"R","Peter Lake",1991,197,"7",1991-07-16,1,0,490,9,24.334,5.071,4,NA
"L","Paul Lake",1991,203,"7",1991-07-22,1,0,431,6,20.225,3.863,0,NA
"R","Peter Lake",1991,204,"7",1991-07-23,1,0,364,7,17.35,3.003,1,NA
"L","Paul Lake",1991,210,"7",1991-07-29,1,0,442,9,8.904,2.993,1,NA
"R","Peter Lake",1991,211,"7",1991-07-30,1,0,368,22,NA,NA,NA,NA
"L","Paul Lake",1991,217,"8",1991-08-05,1,0,380,11,8.653,1.32,8,NA
"R","Peter Lake",1991,218,"8",1991-08-06,1,0,288,10,4.556,0.463,2,NA
"L","Paul Lake",1991,224,"8",1991-08-12,1,0,383,7,16.211,0.314,0,NA
"R","Peter Lake",1991,225,"8",1991-08-13,1,0,317,12,8.638,0.579,1,NA
"L","Paul Lake",1991,231,"8",1991-08-19,1,0,415,8,11.667,1.685,5,NA
"R","Peter Lake",1991,232,"8",1991-08-20,1,0,280,12,9.608,1.294,5,NA
"L","Paul Lake",1991,238,"8",1991-08-26,1,0,345,8,NA,NA,NA,NA
"R","Peter Lake",1991,239,"8",1991-08-27,1,0,275,11,NA,NA,NA,NA
"L","Paul Lake",1991,245,"9",1991-09-02,1,0,477,7,NA,NA,NA,NA
"R","Peter Lake",1991,246,"9",1991-09-03,1,0,345,6,NA,NA,NA,NA
"L","Paul Lake",1992,141,"5",1992-05-20,1,0,279.62,9.66,NA,NA,NA,NA
"R","Peter Lake",1992,141,"5",1992-05-20,1,0,347.15,12.32,NA,NA,NA,NA
"L","Paul Lake",1992,148,"5",1992-05-27,1,0,301.32,22.62,6.22,0,0,NA
"R","Peter Lake",1992,148,"5",1992-05-27,1,0,272,5.65,15.02,0.08,11,NA
"L","Paul Lake",1992,155,"6",1992-06-03,1,0,267.19,13.74,NA,NA,NA,NA
"R","Peter Lake",1992,155,"6",1992-06-03,1,0,644.28,14.98,NA,NA,NA,NA
"L","Paul Lake",1992,162,"6",1992-06-10,1,0,299.61,7.39,9.94,4.92,3,NA
"R","Peter Lake",1992,162,"6",1992-06-10,1,0,258.24,8.3,8.16,1.36,4,NA
"L","Paul Lake",1992,169,"6",1992-06-17,1,0,595.99,0.11,NA,NA,NA,NA
"R","Peter Lake",1992,169,"6",1992-06-17,1,0,581.51,3.54,NA,NA,NA,NA
"L","Paul Lake",1992,176,"6",1992-06-24,1,0,182.91,8.78,8.13,2.47,6,NA
"R","Peter Lake",1992,176,"6",1992-06-24,1,0,219.72,0,10.81,1.81,6,NA
"L","Paul Lake",1992,183,"7",1992-07-01,1,0,495.68,7.67,NA,NA,NA,NA
"R","Peter Lake",1992,183,"7",1992-07-01,1,0,469.42,8.13,NA,NA,NA,NA
"L","Paul Lake",1992,190,"7",1992-07-08,1,0,191.37,36.07,17.27,18.06,3,NA
"R","Peter Lake",1992,190,"7",1992-07-08,1,0,329.07,13.68,7.58,5.37,5,NA
"L","Paul Lake",1992,197,"7",1992-07-15,1,0,335.59,8.74,NA,NA,NA,NA
"R","Peter Lake",1992,197,"7",1992-07-15,1,0,131.83,6.7,NA,NA,NA,NA
"L","Paul Lake",1992,204,"7",1992-07-22,1,0,442.31,19.65,12.59,1.9,6,NA
"R","Peter Lake",1992,204,"7",1992-07-22,1,0,292.63,11.23,8.01,1.69,5,NA
"L","Paul Lake",1992,211,"7",1992-07-29,1,0,329.92,8.86,NA,NA,NA,NA
"R","Peter Lake",1992,211,"7",1992-07-29,1,0,282.85,8.3,NA,NA,NA,NA
"L","Paul Lake",1992,218,"8",1992-08-05,1,0,495.36,11.21,10.53,2.32,10,NA
"R","Peter Lake",1992,218,"8",1992-08-05,1,0,376.94,7.52,8.97,3.83,8,NA
"L","Paul Lake",1992,225,"8",1992-08-12,1,0,312.89,10.05,NA,NA,NA,NA
"R","Peter Lake",1992,225,"8",1992-08-12,1,0,201.77,9.34,NA,NA,NA,NA
"L","Paul Lake",1992,232,"8",1992-08-19,1,0,490.26,9.61,16.77,0.5,1,NA
"R","Peter Lake",1992,232,"8",1992-08-19,1,0,301.57,9.04,22.25,0,1,NA
"L","Paul Lake",1992,239,"8",1992-08-26,1,0,448.99,10.89,NA,NA,NA,NA
"R","Peter Lake",1992,239,"8",1992-08-26,1,0,366.5,6.19,NA,NA,NA,NA
"R","Peter Lake",1992,246,"9",1992-09-02,1,0,434.18,9.31,NA,NA,NA,NA
"L","Paul Lake",1992,247,"9",1992-09-03,1,0,164.08,10.08,NA,NA,NA,NA
"R","Peter Lake",1992,253,"9",1992-09-09,1,0,417.19,9.27,NA,NA,NA,NA
"L","Paul Lake",1992,254,"9",1992-09-10,1,0,204.31,19.37,NA,NA,NA,NA
"R","Peter Lake",1993,139,"5",1993-05-19,1,0,373.081,18.534,0,5.497,1,NA
"L","Paul Lake",1993,140,"5",1993-05-20,1,0,248.665,10.697,0,1.147,2,NA
"R","Peter Lake",1993,146,"5",1993-05-26,1,0,312.593,16.814,9.701,9.925,2,NA
"L","Paul Lake",1993,147,"5",1993-05-27,1,0,258.3,7.001,8.658,3.21,1,NA
"R","Peter Lake",1993,153,"6",1993-06-02,1,0,414.602,24.58,10.638,11.537,3,NA
"L","Paul Lake",1993,154,"6",1993-06-03,1,0,45.67,7.443,4.374,2.118,1,NA
"R","Peter Lake",1993,160,"6",1993-06-09,1,0,514.523,32.909,20.739,39.475,4,NA
"L","Paul Lake",1993,161,"6",1993-06-10,1,0,117.556,5.361,11.071,3.403,2,NA
"R","Peter Lake",1993,167,"6",1993-06-16,1,0,616.316,51.881,89.413,79.911,5,NA
"L","Paul Lake",1993,168,"6",1993-06-17,1,0,149.364,11.38,7.684,5.125,0,NA
"R","Peter Lake",1993,174,"6",1993-06-23,1,0,605.458,41.97,58.699,48.244,8,NA
"L","Paul Lake",1993,175,"6",1993-06-24,1,0,342.826,12.604,75.649,1.766,2,NA
"R","Peter Lake",1993,181,"6",1993-06-30,1,0,418.173,25.141,0,4.579,2,NA
"L","Paul Lake",1993,182,"7",1993-07-01,1,0,395.482,9.072,10.168,4.432,1,NA
"R","Peter Lake",1993,188,"7",1993-07-07,1,0,490.47,30.955,NA,NA,2,NA
"L","Paul Lake",1993,189,"7",1993-07-08,1,0,351.827,11.953,NA,NA,0,NA
"R","Peter Lake",1993,195,"7",1993-07-14,1,0,707.771,30.733,NA,NA,1,NA
"L","Paul Lake",1993,196,"7",1993-07-15,1,0,298.448,11.073,NA,NA,4,NA
"R","Peter Lake",1993,202,"7",1993-07-21,1,0,395.31,23.143,4.312,8.945,1,NA
"L","Paul Lake",1993,203,"7",1993-07-22,1,0,345.66,8.689,9.121,0.789,1,NA
"R","Peter Lake",1993,209,"7",1993-07-28,1,0,352.001,27.056,35.613,26.438,3,NA
"L","Paul Lake",1993,210,"7",1993-07-29,1,0,281.421,7.108,2.048,1.417,1,NA
"R","Peter Lake",1993,216,"8",1993-08-04,1,0,641.684,21.373,6.303,30.8,1,NA
"L","Paul Lake",1993,217,"8",1993-08-05,1,0,298.507,9.888,11.436,1.763,1,NA
"R","Peter Lake",1993,223,"8",1993-08-11,1,0,517.016,25.603,15.706,16.092,0,NA
"L","Paul Lake",1993,224,"8",1993-08-12,1,0,187.672,11.542,39.431,1.439,0,NA
"R","Peter Lake",1993,230,"8",1993-08-18,1,0,513.473,21.112,4.847,6.293,1,NA
"L","Paul Lake",1993,231,"8",1993-08-19,1,0,171.015,10.257,0,0,0,NA
"R","Peter Lake",1993,237,"8",1993-08-25,1,0,465.333,18.787,0.317,1.658,0,NA
"L","Paul Lake",1993,238,"8",1993-08-26,1,0,163.148,7.732,8.239,0.066,0,NA
"L","Paul Lake",1993,243,"8",1993-08-31,1,0,277.235,11.321,0,2.026,0,NA
"R","Peter Lake",1993,243,"8",1993-08-31,1,0,448.049,18.417,0,2.969,0,NA
"L","Paul Lake",1993,250,"9",1993-09-07,1,0,223.799,11.671,0,4.672,2,NA
"R","Peter Lake",1993,250,"9",1993-09-07,1,0,420.378,20.819,1.364,2.506,1,NA
"L","Paul Lake",1994,137,"5",1994-05-17,1,0,342.109,13.08,NA,NA,NA,NA
"R","Peter Lake",1994,137,"5",1994-05-17,1,0,354.859,10.887,NA,NA,NA,NA
"R","Peter Lake",1994,145,"5",1994-05-25,1,0,460.791,14.504,13.789,2.862,2.337,NA
"L","Paul Lake",1994,146,"5",1994-05-26,1,0,417.345,17.09,13.631,3.664,2.632,NA
"R","Peter Lake",1994,152,"6",1994-06-01,1,0,379.781,12.581,11.417,9.359,1.848,NA
"L","Paul Lake",1994,153,"6",1994-06-02,1,0,373.899,16.41,NA,5.368,2.856,NA
"R","Peter Lake",1994,159,"6",1994-06-08,1,0,509.244,16.359,15.81,10.064,1.557,NA
"L","Paul Lake",1994,160,"6",1994-06-09,1,0,437.168,16.697,8.26,4.259,2.076,NA
"R","Peter Lake",1994,166,"6",1994-06-15,1,0,477.839,15.346,18.911,1.117,1.07,NA
"L","Paul Lake",1994,167,"6",1994-06-16,1,0,423.307,13.946,7.221,1.848,0.982,NA
"R","Peter Lake",1994,173,"6",1994-06-22,1,0,480.66,19.304,14.8,7.688,2.349,NA
"L","Paul Lake",1994,174,"6",1994-06-23,1,0,422.934,10.605,11.994,2.699,1.036,NA
"R","Peter Lake",1994,180,"6",1994-06-29,1,0,609.005,24.788,30.133,10.607,1.807,NA
"L","Paul Lake",1994,181,"6",1994-06-30,1,0,439.984,15.738,19.486,2.787,5.07,NA
"R","Peter Lake",1994,187,"7",1994-07-06,1,0,571.092,24.207,49.395,37.282,6.265,NA
"L","Paul Lake",1994,188,"7",1994-07-07,1,0,412.669,21.763,16.571,4.681,2.436,NA
"R","Peter Lake",1994,194,"7",1994-07-13,1,0,746.728,19.149,22.593,49.247,0.896,NA
"L","Paul Lake",1994,195,"7",1994-07-14,1,0,402.942,4.501,3.935,2.438,0.823,NA
"R","Peter Lake",1994,201,"7",1994-07-20,1,0,699.476,23.381,8.049,0.421,2.279,NA
"L","Paul Lake",1994,202,"7",1994-07-21,1,0,387.608,11.473,5.831,4.901,1.604,NA
"R","Peter Lake",1994,208,"7",1994-07-27,1,0,779.086,21.692,7.239,3.69,2.633,NA
"L","Paul Lake",1994,209,"7",1994-07-28,1,0,375.783,7.527,3.008,2.37,3.708,NA
"R","Peter Lake",1994,215,"8",1994-08-03,1,0,814.424,24.463,3.017,2.053,0.65,NA
"L","Paul Lake",1994,216,"8",1994-08-04,1,0,499.251,9.512,9.548,2.125,0.466,NA
"R","Peter Lake",1994,222,"8",1994-08-10,1,0,833.706,36.581,86.092,34.278,0.828,NA
"L","Paul Lake",1994,223,"8",1994-08-11,1,0,498.227,7.43,5.12,2.739,1.299,NA
"R","Peter Lake",1994,229,"8",1994-08-17,1,0,807.511,16.842,94.697,49.864,2.063,NA
"L","Paul Lake",1994,230,"8",1994-08-18,1,0,408.059,10.515,9.403,1.428,1.523,NA
"R","Peter Lake",1994,236,"8",1994-08-24,1,0,653.576,22.552,77.811,59.668,2.403,NA
"L","Paul Lake",1994,237,"8",1994-08-25,1,0,424.318,8.694,9.775,2.348,0.729,NA
"R","Peter Lake",1994,243,"8",1994-08-31,1,0,747.822,14.551,111.259,91.963,1.779,NA
"L","Paul Lake",1994,244,"9",1994-09-01,1,0,437.397,10.192,13.376,5.957,0.836,NA
"L","Paul Lake",1994,249,"9",1994-09-06,1,0,557.812,16.281,10.272,4.39,0.467,NA
"R","Peter Lake",1994,249,"9",1994-09-06,1,0,680.558,16.281,116.107,99.193,1.133,NA
"R","Peter Lake",1995,144,"5",1995-05-24,1,0,436.333,18.922,10.342,72.863,4.086,NA
"L","Paul Lake",1995,145,"5",1995-05-25,1,0,291.78,7.287,6.253,2.059,1.372,NA
"R","Peter Lake",1995,151,"5",1995-05-31,1,0,444.782,15.279,9.86,63.721,0.916,NA
"L","Paul Lake",1995,152,"6",1995-06-01,1,0,342.14,14.365,16.443,2.763,0.148,NA
"R","Peter Lake",1995,158,"6",1995-06-07,1,0,388.163,10.974,23.319,49.61,3.685,NA
"L","Paul Lake",1995,159,"6",1995-06-08,1,0,307.812,1.222,8.879,4.075,3.657,NA
"R","Peter Lake",1995,165,"6",1995-06-14,1,0,478.125,13.505,19.993,58.04,1.317,NA
"L","Paul Lake",1995,166,"6",1995-06-15,1,0,338.845,6.448,9.692,1.843,1.22,NA
"R","Peter Lake",1995,172,"6",1995-06-21,1,0,486.462,12.958,18.306,58.865,1.226,NA
"L","Paul Lake",1995,173,"6",1995-06-22,1,0,324.447,5.567,12.21,0.539,1.858,NA
"R","Peter Lake",1995,179,"6",1995-06-28,1,0,535.325,14.59,34.268,66.545,0,NA
"L","Paul Lake",1995,180,"6",1995-06-29,1,0,422.26,10.353,21.643,5.331,0.736,NA
"R","Peter Lake",1995,186,"7",1995-07-05,1,0,576.806,19.982,13.667,79.151,0.666,NA
"L","Paul Lake",1995,187,"7",1995-07-06,1,0,335.737,10.42,26.361,6.323,2.873,NA
"R","Peter Lake",1995,193,"7",1995-07-12,1,0,582.801,19.157,13.762,62.473,0.83,NA
"L","Paul Lake",1995,194,"7",1995-07-13,1,0,379.554,10.444,16.969,5.912,0.46,NA
"R","Peter Lake",1995,200,"7",1995-07-19,1,0,590.792,19.617,13.529,42.341,0.938,NA
"L","Paul Lake",1995,201,"7",1995-07-20,1,0,306.801,8.151,17.282,6.119,1.48,NA
"R","Peter Lake",1995,207,"7",1995-07-26,1,0,688.018,21.664,12.064,16.348,2.018,NA
"L","Paul Lake",1995,208,"7",1995-07-27,1,0,325.446,10.728,10.387,0.631,1.656,NA
"R","Peter Lake",1995,214,"8",1995-08-02,1,0,688.511,23.225,5.748,5.642,2.427,NA
"L","Paul Lake",1995,215,"8",1995-08-03,1,0,419.592,10.973,13.018,0.923,1.321,NA
"R","Peter Lake",1995,221,"8",1995-08-09,1,0,686.848,24.684,8.216,7.193,2.046,NA
